Description,Invoice Lines,Dimension Lines,Elapsed Time, Database Server
No checksum,0,10000,00:00:03.0171904,
checksum,0,10000,00:00:01.6258489,
No checksum,0,20000,00:00:04.9316472,
checksum,0,20000,00:00:02.0512177,
No checksum,0,30000,00:00:07.7403661,
checksum,0,30000,00:00:02.5899875,
No checksum,0,40000,00:00:10.5836706,
checksum,0,40000,00:00:03.2233719,
No checksum,0,50000,00:00:13.3928079,
checksum,0,50000,00:00:04.2244995,
No checksum,0,60000,00:00:16.9270672,
checksum,0,60000,00:00:08.7456178,
No checksum,0,70000,00:00:15.6539522,
checksum,0,70000,00:00:08.0842043,
No checksum,0,80000,00:00:19.3227185,
checksum,0,80000,00:00:05.9232933,
No checksum,0,90000,00:00:20.2797977,
checksum,0,90000,00:00:06.4561372,
No checksum,0,100000,00:00:20.0379880,
checksum,0,100000,00:00:06.6036643,
No checksum,0,110000,00:00:26.7049278,
checksum,0,110000,00:00:08.9235439,
No checksum,0,120000,00:00:27.3173796,
checksum,0,120000,00:00:08.7898254,
No checksum,0,130000,00:00:30.1341779,
checksum,0,130000,00:00:10.5320259,
No checksum,0,140000,00:00:35.0872935,
checksum,0,140000,00:00:17.5255204,
No checksum,0,150000,00:00:34.6561809,
checksum,0,150000,00:00:11.2671758,
No checksum,0,160000,00:00:35.8554426,
checksum,0,160000,00:00:11.5409488,
No checksum,0,170000,00:00:40.9858921,
checksum,0,170000,00:00:13.3420401,
No checksum,0,180000,00:00:44.7054833,
checksum,0,180000,00:00:13.7232448,
No checksum,0,190000,00:00:48.4463860,
checksum,0,190000,00:00:15.0381274,
No checksum,0,200000,00:00:55,
checksum,0,200000,00:00:15,
No checksum,0,300000,00:01:31,
checksum,0,300000,00:00:25,
No checksum,0,400000,00:01:59,
checksum,0,400000,00:00:34,
No checksum,0,500000,00:02:40,
checksum,0,500000,00:00:50,
No checksum,0,600000,00:03:35,
checksum,0,600000,00:00:56,
No checksum,0,700000,00:04:38,
checksum,0,700000,00:01:05,
No checksum,0,800000,00:05:34,
checksum,0,800000,00:01:27,
No checksum,0,900000,00:07:01,
checksum,0,900000,00:01:47,
No checksum,0,1000000,00:09:47,
checksum,0,1000000,00:02:05,
No checksum,0,1100000,00:09:06,
checksum,0,1100000,00:02:10,
No checksum,0,1200000,00:11:15,
checksum,0,1200000,00:02:33,
No checksum,0,1300000,00:12:05,
checksum,0,1300000,00:02:57,
No checksum,0,1400000,00:15:15,
checksum,0,1400000,00:03:31,
No checksum,0,1500000,00:17:18,
checksum,0,1500000,00:03:43,
